	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP008390	898	512	478	531	246	295	226	347	352	431	350	393
AGAP010195	116	60	77	63	114	117	64	65	65	63	62	82
AGAP005419	3637	2107	2314	1538	1023	1199	821	917	1447	1396	1317	1400
AGAP007123	2129	1787	1230	855	1749	1672	812	2812	1555	1134	934	2149
AGAP029363	629	393	412	464	753	932	790	719	604	811	697	832
AGAP008679	3	0	0	0	5	0	2	4	0	1	0	0
AGAP002879	17489	13499	14218	14540	22624	23112	20630	25011	16612	21258	18070	20958
AGAP003129	132	79	69	79	184	298	309	284	154	329	223	376
AGAP000007	1440	1222	1140	843	2655	3125	3345	2885	2265	3329	2216	2738
AGAP008708	441	226	268	211	910	1011	1003	1082	617	877	703	921
AGAP012366	2341	2200	1676	1523	1770	2074	1803	1362	1694	2199	1755	2755
AGAP003159	836	493	625	702	834	901	889	798	819	1032	984	1068
AGAP003919	2189	1339	1516	1250	675	756	521	542	859	808	916	999
AGAP011041	653	354	341	312	95	82	124	70	130	171	139	176
AGAP010041	5169	3163	3255	2864	4038	4385	3224	3371	2766	3451	2847	3235
AGAP007764	25	7	15	11	20	23	18	10	1	11	8	10
AGAP005412	259	96	143	78	438	443	739	481	142	268	203	283
AGAP006636	424	309	307	278	572	729	645	625	256	413	369	390
AGAP009682	8858	3020	6699	5881	3189	3585	2428	1922	7241	6767	6906	9257
AGAP004586	1476	667	876	732	453	664	424	331	826	764	788	975
AGAP010280	22136	16811	14275	12010	5342	4867	3180	4170	5698	6154	5419	6915
AGAP009035	3806	2077	2598	2022	1736	1829	1450	1589	1900	2400	2111	2408
AGAP009527	201901	76162	131077	100932	15071	17957	12896	14596	24863	17631	18709	23420
AGAP007035	35845	13820	22793	21090	166	550	166	96	1189	328	404	362
AGAP007847	3681	3170	3270	2804	4488	5295	5515	4588	3465	3543	2544	3992
AGAP006738	45	19	6	7	9	22	99	106	4	10	5	5
AGAP001336	1698	1167	1142	1317	993	1163	1019	796	922	1629	970	1302
AGAP008736	1292	838	1039	745	1535	1656	1593	1713	620	1115	992	1025
AGAP000254	688	383	415	237	1382	1776	2225	1565	505	650	508	689
AGAP009199	1641	828	1218	1007	581	702	540	540	762	780	795	864
AGAP005747	2427	1151	1503	1268	902	1015	983	946	926	1257	1129	1244
AGAP009119	1630	1070	1388	1241	1086	1086	1445	1141	898	1427	1361	1577
AGAP009071	980	582	640	429	849	927	719	765	735	854	951	994
AGAP006964	7488	2103	2506	3765	2599	3105	4631	3692	928	923	822	762
AGAP005131	50875	30691	33778	35144	34997	37754	25865	36272	39530	41432	38335	43433
AGAP010170	662	409	411	320	449	426	380	509	321	372	276	355
AGAP001995	10981	8708	7157	5489	2737	3253	2221	2724	3989	3804	4428	4037
AGAP009437	36	20	31	10	24	20	21	29	21	23	39	38
AGAP011341	1513	1594	1405	1371	1697	1932	1567	2591	668	1093	850	864
AGAP028607	622	356	378	359	3606	2734	2929	2489	952	1807	1857	847
AGAP007567	3110	2471	2092	1936	3169	3684	3806	2916	2356	3479	2830	2845
AGAP006534	1486	934	1277	1032	2679	3296	3212	2667	1356	2570	2021	2283
AGAP003665	78	31	23	32	90	86	38	39	51	67	26	32
AGAP006723	4098	2562	3018	3075	743	470	244	280	249	468	1561	341
AGAP009180	2514	1663	1906	1721	3991	5549	5035	4231	2104	3580	2656	3359
AGAP003731	1801	1074	1186	957	471	659	521	558	702	669	672	951
AGAP011531	2195	1146	1286	1009	978	1209	708	955	1122	1046	1104	1227
AGAP006231	864	515	475	625	890	1085	912	743	605	847	883	1109
AGAP029396	367	241	302	290	194	234	88	131	213	215	202	281
AGAP008151	2158	1222	1581	1227	1020	1023	1015	980	958	1446	1173	1474
AGAP012533	26958	15130	19420	13132	16498	19316	12297	16690	8145	13259	10154	13823
AGAP006607	26366	14852	17454	15431	14688	14302	10403	12111	16770	18273	16797	20865
AGAP010596	4334	1940	2625	2843	3321	3773	4026	3252	4214	6415	5321	5296
AGAP012306	154	97	134	80	127	188	121	136	149	188	165	198
AGAP005744	4335	2434	2842	2593	1397	1226	1275	1107	1281	1180	1538	1448
AGAP000998	4217	2719	3277	2993	3308	3298	3314	3174	2678	3594	3025	3351
AGAP009719	37	13	17	21	14	28	12	30	2	16	7	15
AGAP029268	148	54	96	61	110	78	95	62	86	82	109	134
AGAP005904	924	647	833	601	781	909	817	777	564	812	698	868
AGAP001628	2067	1305	1042	1045	1467	1649	1043	1168	945	1499	1088	993
AGAP009409	174	73	68	70	120	169	132	113	48	93	91	90
AGAP029529	814	370	477	371	1974	2390	2777	2135	757	1315	1004	1306
AGAP006224	1979	1229	1202	1142	1743	1790	1257	1253	764	1266	1256	1391
AGAP006576	7220	4982	4968	3862	4144	4746	3633	3975	3465	3830	3611	4676
AGAP002193	4273	2954	3373	3120	4534	5212	3620	4134	3694	4708	4305	4685
AGAP011803	1985	1129	1424	1070	1052	1368	1074	1061	1116	1463	1347	1514
AGAP012182	117	53	65	53	28	40	47	27	24	24	39	38
AGAP002277	5402	3040	3276	2918	2247	2486	1610	1738	2739	2694	2809	2784
AGAP011739	612	234	326	309	174	140	142	105	280	291	290	383
AGAP028735	24	25	0	18	25	29	17	23	29	32	50	62
AGAP007781	31800	19984	21970	19697	23320	26121	16648	24987	13509	16512	21375	18356
AGAP001555	727	351	471	515	639	836	686	626	596	903	852	936
AGAP009100	8716	6061	5468	5928	1382	1983	1507	1482	2625	1380	1096	1479
AGAP008718	6523	4040	4220	4032	5445	5604	4391	4772	4925	5260	5225	5464
AGAP003894	209	108	147	128	156	177	180	143	112	197	144	170
AGAP002909	420	342	270	163	47	82	86	70	10	47	34	41
AGAP006991	41	12	5	6	4	8	7	20	3	6	6	6
AGAP012996	3254	2274	1927	1680	7573	7023	6042	7441	3357	4384	3519	4264
AGAP028617	8295	6043	7736	5879	15668	17079	15212	14597	8182	13356	9552	12209
AGAP012731	12	22	9	8	18	37	17	47	32	21	24	42
AGAP029406	1073	421	748	513	51	32	19	28	27	11	25	9
AGAP000819	39	9	4	9	2	2	21	3	0	5	0	0
AGAP008494	639	373	462	314	1000	1058	1093	928	801	906	809	949
AGAP010328	610	355	324	265	318	233	397	328	981	479	241	337
AGAP008123	97	49	59	39	102	168	112	121	81	108	62	90
AGAP007965	4588	2122	3019	2942	2613	2700	1338	1890	4152	4137	3688	4342
AGAP005542	965	495	590	497	432	586	360	418	555	652	666	625
AGAP006892	2580	1769	1523	1370	2458	2806	2233	2032	1420	1965	1521	1822
AGAP004097	7404	4730	4601	3695	2947	2684	1819	2895	3088	3001	2720	3439
AGAP008775	154	55	60	67	108	183	222	181	58	72	66	58
AGAP008356	115	49	54	65	26	23	20	31	9	16	33	80
AGAP003778	33034	20153	22427	17618	13869	16174	6500	9446	10848	11034	9470	15248
AGAP012287	568	386	350	387	520	433	332	385	373	575	462	487
AGAP006330	1179	1050	1011	922	1224	1666	1362	1359	1163	1794	1557	1501
AGAP002585	294	107	65	35	27	42	57	39	31	21	43	29
AGAP003014	1497	1373	1189	1133	2163	2124	2061	1994	1138	1827	1668	1795
AGAP000069	33	4	15	14	4	15	18	11	0	4	1	2
AGAP007402	152	97	130	120	52	77	69	62	80	117	89	77
AGAP011131	139942	76943	88857	70477	75882	61377	59448	77320	35378	60967	47686	40870
AGAP001724	12982	9036	7898	6536	4890	5509	3481	4777	5917	4958	5080	7516
AGAP010278	6102	3241	3454	3116	2199	2424	1573	1840	2367	2727	2264	2741
AGAP004458	10762	6484	6647	5787	16967	17369	10004	17182	11714	11658	12254	14335
AGAP008176	1460	1108	944	857	1868	1336	1670	1496	513	1064	678	505
AGAP009398	329	184	197	189	376	423	378	343	213	303	267	325
AGAP029593	923	638	540	557	1080	1258	959	1211	483	794	686	666
AGAP007804	816	423	451	457	375	482	364	357	597	484	587	673
AGAP005629	296	175	212	183	390	481	354	358	277	428	427	524
AGAP003115	371	260	340	204	815	974	1013	912	327	530	366	503
AGAP008936	44	14	21	12	8	20	31	29	7	21	22	16
AGAP002198	23975	16193	14699	10627	6381	6068	2885	6122	6151	3921	3563	5895
AGAP001590	462	428	252	247	356	535	452	430	200	287	229	217
AGAP005453	15	1	0	0	4	0	0	0	0	0	0	1
AGAP001313	11741	8683	8453	7675	5924	6023	4453	5627	4704	4401	4812	5394
AGAP005034	311	196	89	123	305	435	399	326	96	196	175	144
AGAP008625	1752	1173	1221	1122	1283	1421	1194	1079	983	1791	1545	1738
AGAP002294	158	92	102	80	28	30	16	13	6	19	16	3
AGAP007946	6093	2978	3852	2852	2310	2711	2260	2280	2519	3276	2851	1814
AGAP006687	799	453	652	588	560	674	465	465	634	819	700	753
AGAP003942	790	561	515	509	425	548	324	345	463	714	738	733
AGAP006032	1932	1049	1178	1296	1526	1190	1116	1213	1638	1588	1218	1637
AGAP013013	987	577	745	532	352	302	223	329	417	367	503	529
AGAP006976	241	196	214	206	17	28	13	41	7	31	20	17
AGAP006004	2	13	0	5	1	0	0	2	0	1	0	0
AGAP002893	2611	1448	1644	1467	1322	1245	847	1013	1374	1559	1418	1650
AGAP012368	2964	2202	2145	1851	2700	3043	2369	2565	2056	2693	2522	2857
AGAP010998	23	7	4	10	17	20	13	16	3	18	7	19
AGAP012322	7	26	0	6	0	3	0	1	0	2	0	0
AGAP000865	2944	2152	2359	2181	3775	4615	4451	3723	2350	3426	2959	3455
AGAP004742	96722	64937	57202	52723	42142	43899	27944	45927	44707	41934	44907	67066
AGAP007043	28802	17900	19730	15658	2716	3134	1520	2859	6544	3416	4197	5264
AGAP001228	1513	759	939	885	553	466	359	489	788	885	755	770
AGAP028221	318	226	235	172	133	130	132	125	100	83	62	110
AGAP006942	9496	5895	6656	6616	6389	8436	6475	6755	6567	9810	7927	9782
AGAP004570	51	59	39	24	8	17	29	18	13	24	13	18
AGAP002799	86	51	42	26	17	16	43	31	47	93	30	174
AGAP013235	32	15	14	23	15	20	13	27	46	24	43	43
AGAP009581	45	28	22	31	62	68	60	57	4	44	18	21
AGAP003216	200	237	164	186	112	164	103	182	187	205	220	259
AGAP001979	1334	968	1040	784	2539	3209	3445	2637	1374	2588	1876	1936
AGAP013281	125	73	25	14	22	41	37	43	9	19	15	12
AGAP011071	195	81	111	110	114	107	91	100	101	125	146	103
AGAP003843	21029	13269	12318	10737	9633	10748	6707	8435	7322	8080	8927	9117
AGAP004778	2859	1721	1711	1321	1248	1320	843	890	1368	1406	1461	1541
AGAP029507	1302	804	933	794	3081	4128	4061	3986	1133	2429	1735	2301
AGAP012594	0	0	0	5	7	20	13	14	11	24	17	30
AGAP000380	1522	1186	1038	857	4729	5000	5210	5506	5753	5827	4098	5857
AGAP028565	2132	1106	1362	951	804	833	666	661	872	1180	1132	1176
AGAP008203	18	4	0	0	6	15	1	4	0	0	1	0
AGAP011467	485	105	212	183	42	154	47	107	84	189	72	27
AGAP000460	156	59	56	32	237	417	491	321	36	137	76	142
AGAP007584	5489	2921	4418	3642	3436	2795	2196	2381	2373	2511	3182	3061
AGAP007647	12551	6100	8773	10253	8432	10276	5582	6394	8193	12826	10716	11905
AGAP011230	776	301	393	468	12	89	63	43	151	79	86	66
AGAP002485	71	21	15	9	1	2	10	2	0	2	1	2
AGAP029953	4120	2515	2849	2290	831	785	569	474	531	940	1033	609
AGAP029368	5436	2394	3057	2808	2682	3056	2189	2084	2782	3417	2635	3323
AGAP004566	445	294	215	167	218	150	74	173	98	158	141	101
AGAP008562	471	242	307	237	145	126	39	64	45	91	58	39
AGAP007450	29	9	6	4	27	33	11	16	9	15	4	10
AGAP011363	336	262	252	207	753	1036	782	909	584	897	652	866
AGAP009681	303	228	246	256	269	326	209	234	223	361	255	275
AGAP009833	120236	95427	80495	60650	57349	64560	48193	59277	36748	49460	42942	51298
AGAP007833	3466	2246	2140	2947	2304	3040	2496	2189	1729	2972	2455	2642
AGAP007010	3880	2390	2473	2646	4384	5481	5800	5184	2878	4199	3233	4297
AGAP002589	17	3	1	4	2	0	3	2	1	4	0	0
AGAP000558	1034	587	648	571	1987	1786	1806	1824	1056	1403	941	1267
AGAP012248	897	627	660	605	1163	1126	1219	1193	1205	1212	926	1468
AGAP029573	3001	2141	2151	1744	4095	5939	6391	5364	1918	3018	2440	2666
AGAP011470	1280	1420	999	995	894	796	916	641	824	1277	1405	1360
AGAP011115	2912	1969	2226	1891	1859	2160	1706	1877	1519	1861	1894	2003
AGAP004826	580	287	223	266	71	229	34	168	72	176	57	96
AGAP013120	6024	3720	4954	4024	477	430	320	278	1001	590	867	691
AGAP007646	716	412	534	438	644	780	791	911	424	704	641	673
AGAP001311	1849	1303	1333	1077	986	1318	850	851	1596	1502	1363	1582
AGAP008680	5179	8669	3865	3085	3008	3629	2717	2866	2557	3255	3015	3789
AGAP003135	3097	1976	2256	2065	1332	1468	1081	1195	1337	1713	1990	1870
AGAP000926	2617	1677	1850	1589	6250	9194	9919	8382	4314	6684	4611	7093
AGAP010917	852	522	560	456	427	526	393	467	398	502	574	600
AGAP004430	10527	6409	7422	6600	6247	7040	5091	5123	6124	8245	8173	9150
AGAP028112	3066	1251	1984	1994	1423	1557	915	830	1324	2082	1097	2590
AGAP011589	22	5	6	10	28	25	27	15	14	20	11	6
AGAP000345	246	438	111	52	97	157	147	198	6	26	11	32
AGAP006360	19708	12772	15315	15214	30214	32403	29122	38697	22982	29225	24342	34356
AGAP005991	199386	111882	149673	117519	77716	81098	58457	71609	84903	89620	89940	100545
AGAP000743	283	281	213	210	654	708	714	705	521	793	542	678
AGAP006948	7249	4567	4600	3797	2708	3249	2280	2273	2292	2575	2472	2514
AGAP011586	904	623	572	505	1316	1307	1301	1202	719	1103	731	937
AGAP005733	4999	1896	3662	3414	2701	3201	2274	2220	5419	4866	4348	7972
AGAP013476	126	84	118	57	165	194	200	176	40	80	48	72
AGAP029925	107	18	29	17	29	28	28	70	6	22	14	19
AGAP003790	75897	52968	47944	42056	21525	21869	17126	19075	23903	22682	21010	25825
AGAP010983	361	199	251	202	509	633	730	515	344	446	326	526
AGAP005702	24	12	8	6	4	5	8	0	0	2	4	4
AGAP001418	5677	4562	4097	3270	2007	2370	1857	1910	2348	3306	2870	3076
AGAP000765	736	475	512	433	1354	1563	1516	1297	549	1037	933	892
AGAP010295	5923	4139	3398	3112	4240	4686	3419	3820	2760	3421	3901	3674
AGAP002872	1739	707	980	994	849	1297	999	894	494	420	470	122
AGAP010336	2808	1548	1484	1473	2484	2472	1614	2008	1263	1730	1444	1786
AGAP029234	30144	26634	20833	17530	33152	41944	34178	34705	22471	37563	27840	38919
AGAP006434	22119	6167	12258	10072	2179	3595	4274	4344	29303	30649	29276	70929
AGAP006248	2536	1324	1539	1260	941	1094	803	945	1094	1170	1135	1342
AGAP003573	85	25	17	13	45	57	38	30	28	43	15	19
AGAP028736	54	15	10	11	23	51	30	35	11	48	23	29
AGAP006518	6714	4402	4778	3853	2026	2191	1764	1718	2669	2306	2330	2485
AGAP001959	1172	705	896	684	636	739	680	593	540	722	754	737
AGAP002092	1323	1087	994	902	771	650	560	640	691	722	783	842
AGAP005564	1005	798	626	548	1754	2276	1928	2127	1123	1832	1305	1487
AGAP028470	66	45	39	27	4	10	23	13	28	30	4	32
AGAP008295	2202	410	837	669	5430	1774	3495	3635	100	643	188	231
AGAP008924	746	579	503	508	979	996	804	1033	501	639	703	544
AGAP029191	216	134	116	132	323	582	608	431	124	241	192	292
AGAP007015	121	69	64	91	54	42	55	87	11	40	10	12
AGAP029553	4576	1931	2586	2380	2033	2202	2042	1471	2600	3007	3191	3645
AGAP011730	1234	918	916	783	891	1024	927	822	1025	1034	1241	1313
AGAP001588	18631	11286	11702	11467	16620	17254	13789	15348	13629	17623	16019	20340
AGAP001267	9672	6334	6599	5477	7615	8274	7519	6918	6696	7666	7203	7933
AGAP008770	5016	4032	4163	4206	7293	8165	6475	6782	5347	8289	6946	8834
AGAP006426	710	575	712	541	505	373	270	242	535	670	287	510
AGAP005500	26	23	19	27	24	29	17	52	16	15	39	20
AGAP011759	289	192	237	222	308	381	340	240	167	271	219	220
AGAP008225	12887	9680	9568	8194	8501	7853	5150	9697	8989	8206	9241	13887
AGAP012391	5542	3839	3560	3204	5685	4575	4150	4265	1936	3759	3377	2399
AGAP005606	1316	812	1093	734	2296	3126	3068	2664	1549	3051	2396	2840
AGAP005638	167	43	16	32	20	49	52	77	75	65	43	31
AGAP011774	1103	575	701	670	425	676	495	367	687	825	781	977
AGAP013241	53	19	23	17	26	51	44	44	9	13	28	15
AGAP005818	1292	926	848	765	347	432	390	246	383	441	395	467
AGAP000974	1218	663	669	486	2032	3130	3723	2534	646	1254	974	1182
AGAP003431	2414	1947	1650	1490	2217	2614	2318	2162	1224	1769	1647	1662
AGAP003417	2079	1399	1404	1152	1407	1673	1383	1173	1070	1944	1817	2052
AGAP003185	1332	922	1088	1063	812	988	897	772	899	1109	1064	1165
AGAP003995	48504	39019	32941	31694	35119	40182	29726	35873	24083	28087	27802	28825
AGAP002686	7458	4603	5256	4713	4649	5096	4408	4518	4452	5390	4884	5395
AGAP004630	321	198	149	171	270	266	210	213	211	248	185	226
AGAP012750	0	0	0	0	0	0	0	0	0	0	0	0
AGAP027986	105	23	34	34	6	18	10	35	13	44	13	29
AGAP011433	51	22	20	23	12	12	18	17	8	6	12	9
AGAP009613	5013	2539	3029	2475	2107	1987	1548	1804	2361	2685	2769	2819
AGAP001608	2727	1623	1797	1573	3112	4179	3948	3276	2359	3528	2712	3714
AGAP006496	176	140	73	108	161	252	323	283	67	160	83	106
AGAP002041	338	102	124	114	598	997	1299	919	202	407	318	293
AGAP001624	4578	2948	3085	2671	2698	2500	2075	2288	1868	2678	2253	2521
AGAP010760	887	272	667	432	9	45	27	14	23	6	16	41
AGAP002614	416	225	172	238	452	579	660	440	297	586	452	463
AGAP003331	1923	1093	1223	1369	774	863	724	599	744	900	877	1277
AGAP005971	13506	9773	11128	10406	20589	23416	17000	22791	15610	21800	15641	22064
AGAP013057	327	229	176	155	685	939	984	899	359	531	425	540
AGAP010606	9439	5569	6504	5391	2838	3007	1919	2594	4191	3586	3603	4123
AGAP010815	51671	28851	34895	27427	4022	6603	2371	2715	13427	5724	10093	10145
AGAP010703	339	187	250	180	103	90	129	75	187	239	214	206
AGAP012770	2976	2635	2612	2637	2408	1921	1340	1905	2731	2745	3004	2715
AGAP009573	323	149	158	171	163	207	120	145	200	253	191	244
AGAP001518	1218	832	970	797	1810	2082	2079	1835	1569	2321	1878	2102
AGAP002709	197	105	89	91	138	220	277	242	78	107	114	133
AGAP007182	157	46	115	45	357	532	622	436	158	271	173	323
AGAP000991	1241	784	884	760	714	812	710	653	636	858	818	873
AGAP002364	6744	4629	5126	3616	10956	13181	14619	17081	5499	8751	7469	8247
AGAP004265	1575	1021	1133	1164	1427	1909	1503	1571	1121	1638	1420	1877
AGAP010571	3588	2398	2326	2299	3212	2813	2233	2865	2112	1822	1942	1659
AGAP029703	50	15	13	13	55	60	28	22	15	23	32	33
AGAP028730	26213	16938	17292	14300	33726	35612	30359	30539	17184	21763	19948	21667
AGAP005499	6252	4675	4140	3632	1218	942	651	722	1689	1920	2458	3488
AGAP006561	5	4	1	0	0	0	5	5	0	0	0	0
AGAP001279	1911	934	1364	1201	2328	3545	3022	2929	2290	3699	3003	3750
AGAP001389	30	14	6	11	3	8	10	3	0	4	6	4
AGAP009568	350	102	57	79	106	88	93	96	23	47	1140	37
AGAP006499	32	43	10	11	12	2	12	14	18	18	12	10
AGAP005581	7623	5238	5509	4857	15462	14517	11876	14851	8053	11170	10271	12150
AGAP005049	622	333	372	358	170	191	127	160	301	281	272	299
AGAP003722	12149	9409	10604	6329	3444	2740	2460	2944	3138	3331	2941	3765
AGAP005567	977	561	634	503	2846	3335	3034	3018	1680	1991	1747	1898
AGAP005968	37	14	11	16	9	4	10	10	5	5	6	7
AGAP003357	5372	3624	3652	2685	6382	7018	5582	6758	5441	5724	4684	5821
AGAP002985	534	298	397	339	810	1058	816	734	813	1043	766	919
AGAP001497	21962	26083	17358	15181	40345	45636	43975	46948	25672	34939	25369	28183
AGAP001652	5778	4353	5698	3317	2181	2350	1327	2073	2586	1861	2409	2218
AGAP008027	12647	8156	8836	10538	29178	29080	23195	22697	23728	30811	32055	31773
AGAP012983	24	11	14	6	11	14	8	13	14	7	4	10
AGAP010648	150	98	64	56	220	184	134	158	96	126	80	105
AGAP008843	20850	13244	15011	12703	8610	10855	8300	8809	15852	16215	13471	22031
AGAP008577	3798	2551	2747	2698	3705	4531	4057	3498	2050	3318	3071	3436
AGAP000855	1524	882	983	854	1583	1323	1080	1274	1494	1403	1296	1429
AGAP005138	378	219	203	183	364	354	361	368	250	286	195	302
AGAP003271	618	265	221	206	1213	1223	1120	1110	362	672	504	482
AGAP005095	4700	4048	3812	2152	4969	4770	8381	6382	1601	2416	1477	1812
AGAP001482	3826	2607	2541	2661	3816	4150	4109	3850	2471	3893	3463	3892
AGAP011318	2010	1578	1368	1133	1973	1931	2011	1814	849	1342	1065	1203
AGAP001168	1068	580	678	496	1231	1827	1466	1386	1018	1531	1139	1608
AGAP003060	287	339	190	203	130	151	151	141	61	83	62	80
AGAP006104	4665	4193	2890	2549	1046	1461	1041	1345	1195	1488	1198	1521
AGAP003787	121	67	81	62	79	107	134	53	34	79	76	75
AGAP009128	3310	1621	2043	1253	1572	1477	1422	1769	2989	2651	2354	2393
AGAP002631	111	70	88	54	31	43	20	31	8	10	32	15
AGAP003814	8561	5343	4139	5180	2526	3458	1572	2220	2635	3497	2839	3189
AGAP005283	66	32	6	9	11	26	22	30	4	9	6	7
AGAP001213	779	419	672	468	1499	1313	1265	1722	2943	981	407	667
AGAP012034	4211	2390	2465	2360	1232	1082	567	984	1391	1040	1381	1323
AGAP010371	470	158	198	250	152	279	286	207	193	206	151	231
AGAP008665	262	140	142	138	153	146	136	133	123	118	109	126
AGAP012203	1219	695	840	822	1362	1730	1603	1504	986	1604	1493	1668
AGAP009913	1274	868	899	873	1290	1682	1303	1534	857	1092	901	1216
AGAP029167	81	59	29	33	86	88	54	64	20	26	25	19
AGAP009478	684	235	464	382	151	307	167	199	303	352	359	421
AGAP011899	216	90	120	152	181	195	142	222	177	267	179	286
AGAP005720	129	64	102	76	188	206	193	112	173	286	249	270
AGAP012759	42	22	10	43	19	15	8	16	24	7	24	30
AGAP001100	2008	1238	1080	1019	1844	2097	1955	1758	1416	1959	1673	1831
AGAP012189	11100	9142	6986	6078	4748	4623	3348	4904	2954	3689	3185	4177
AGAP009686	45	18	22	14	7	2	12	18	0	22	11	6
AGAP029733	73	257	34	63	213	238	91	189	202	82	92	91
AGAP010801	6928	4663	4688	3976	8190	10025	8987	8500	5447	8333	6070	7714
AGAP008692	68	23	21	45	24	42	8	26	20	20	27	19
AGAP009156	14566	8751	9418	9506	13040	13129	12040	12205	13040	14816	14003	14357
AGAP006765	58	57	31	32	140	169	113	116	69	129	100	85
AGAP013396	0	0	0	0	0	0	5	0	0	0	4	4
AGAP000237	1570	1226	1192	1126	934	1042	1075	1132	529	837	719	915
AGAP002532	573	197	405	367	361	545	314	316	553	767	685	1027
AGAP013742	226861	123478	150242	133539	97578	101811	67366	86507	110259	116177	114574	129181
AGAP028050	1200	574	780	611	439	623	451	346	605	762	787	826
AGAP005098	19	3	3	7	4	0	5	4	5	0	2	0
AGAP000316	57	36	37	27	114	166	169	123	82	118	97	136
AGAP028398	540	370	407	311	1370	1699	1603	1398	907	1581	939	1439
AGAP008596	25627	15283	18598	15833	26144	24973	15037	25006	17363	22108	24397	22019
AGAP006928	1796	748	967	1007	787	1121	632	561	993	1038	996	1171
AGAP000539	150	22	21	33	4	20	29	10	10	27	8	21
AGAP029823	14	2	4	2	7	4	12	2	6	4	11	2
AGAP003372	10180	11238	6330	6062	5816	5873	4235	4987	3529	3928	4349	4928
AGAP004783	873	649	548	498	749	1134	1022	906	449	743	923	840
AGAP029653	2186	1487	1401	1362	1516	2236	1596	1733	1251	1619	1427	1825
AGAP005267	1069	596	774	522	458	491	337	447	489	575	568	659
AGAP000881	5115	3944	2908	2132	5259	4278	3993	4210	2623	3538	3197	4158
AGAP004163	887	467	593	531	705	506	548	597	642	653	559	734
AGAP011155	558	260	373	316	334	479	406	353	326	561	405	546
AGAP000340	772	478	544	408	444	578	664	536	396	574	572	394
AGAP008335	1013	776	795	708	1220	995	1009	1013	381	610	676	612
AGAP004805	15476	10690	10949	8943	5948	7481	5485	5386	5508	6526	6301	7279
AGAP001287	5892	3576	4170	3023	9716	13221	12765	10637	5713	8790	6542	8071
AGAP009112	461	288	273	277	602	838	1180	845	301	432	377	357
AGAP012330	11871	6867	7587	6300	6759	8753	5670	5949	6142	7575	6928	7590
AGAP003545	44040	17204	33331	32011	24139	23882	18720	18340	33147	43012	40759	58815
AGAP000878	51	6	2	1	0	8	6	1	2	2	7	0
AGAP029311	1085	432	715	552	422	436	330	322	411	453	464	502
AGAP012216	4657	2617	3178	2561	3071	3234	1892	2687	2649	3709	2910	4331
AGAP003260	61	20	11	34	21	30	38	27	20	19	18	25
AGAP001107	25801	14616	17004	14857	8448	9103	6076	6532	11370	11075	10079	11526
AGAP009210	7588	5242	5338	4176	7503	7591	6632	7295	4735	5988	5178	6746
AGAP000945	303	119	107	134	302	468	556	327	137	285	210	222
AGAP004531	89	108	148	30	43	51	68	53	94	45	36	87
AGAP003167	7029	5715	5707	5732	4984	5256	4083	5206	4663	5785	4946	6262
AGAP029629	3913	2411	2672	2403	5511	7676	6529	6735	5881	6092	4727	6363
AGAP028437	723	321	408	269	811	1062	938	728	416	688	537	684
AGAP001328	1692	1006	1372	1022	2505	3210	2811	2542	1835	2902	2354	2750
AGAP007745	259440	105870	155592	125659	71330	78630	70881	56681	140518	111500	132876	160857
AGAP002743	42	220	15	22	16	15	28	27	9	20	14	24
AGAP008138	76	50	45	61	144	171	289	171	61	79	117	78
AGAP000982	1198	882	827	771	1539	1722	1388	1435	1191	1727	1453	1966
AGAP012235	1769	960	958	914	292	444	296	424	638	605	603	591
AGAP007861	154	50	73	61	43	46	75	66	62	63	75	117
AGAP003630	14	4	11	5	0	10	18	11	1	4	2	1
AGAP007854	170	78	104	94	97	198	287	218	48	118	72	111
AGAP008086	9705	5850	6930	5743	5496	5243	3953	5187	5488	6377	5585	7147
AGAP010388	6279	3627	3949	3727	3492	3444	2511	2437	3355	3925	3452	4209
AGAP011391	1766	1600	1478	1424	2453	2606	1974	3528	883	1632	1046	1221
AGAP006260	10529	7166	7774	5888	7165	8281	7153	7719	3825	4964	4160	4445
AGAP000932	3166	2223	2203	2061	4419	6310	5709	4836	2700	3719	3119	3889
AGAP008049	4029	2106	2425	2182	1419	1434	1111	1278	1573	1557	1772	1539
AGAP028430	196	149	150	190	100	215	267	205	126	161	165	209
AGAP004223	254	205	209	117	467	666	789	518	315	454	353	396
AGAP004749	2759	1603	1887	1625	1125	1242	908	1010	1363	1397	1562	1784
AGAP011045	1550	1187	1158	1069	1636	1888	1749	1742	904	1061	993	1139
AGAP007523	5241	3867	4614	2106	7412	8507	9307	7161	5073	8420	5362	8111
AGAP029506	943	416	514	430	1183	1436	1337	1424	1058	1113	1196	1203
AGAP001687	545	267	289	249	133	219	231	189	193	321	204	296
AGAP007157	146208	86146	100141	89201	56950	59250	41895	50846	63935	63560	73735	73380
AGAP002943	909	502	673	449	3323	3633	3335	3471	2923	3475	2367	3243
AGAP010623	6797	4401	4985	4404	5145	5015	3958	5239	4923	4500	3832	4623
AGAP010264	1042	651	609	509	1874	2250	1957	1635	751	1437	954	1121
AGAP007315	3038	1555	1759	1851	999	1181	675	1075	983	1060	1285	1124
AGAP003207	1158	773	866	727	901	1154	970	826	715	1037	941	1048
