	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP012398	5046	2823	3267	2980	2215	2211	1663	1679	2536	2673	2660	3176
AGAP013419	1555	756	929	828	458	483	417	430	516	585	649	661
AGAP010625	2668	1686	1654	1456	1129	1008	726	797	990	1086	1005	1240
AGAP011440	1497	549	926	817	440	725	543	586	730	1016	944	1297
AGAP005544	1211	694	790	776	390	480	400	406	296	479	451	473
AGAP008107	1969	1318	1354	1006	1236	1391	1125	1213	1303	1654	1534	1417
AGAP012894	7796	3180	4753	4823	961	1111	1040	509	1752	1408	1591	2189
AGAP010317	11233	5951	6941	5587	3629	4306	2644	3115	4879	5446	4794	5568
AGAP001011	2665	2060	2010	2026	4252	4397	3714	4612	2375	2765	2973	2925
AGAP001182	39116	22875	28806	22300	13086	13542	13200	11919	17355	15028	15430	17824
AGAP008901	420	194	230	206	565	835	627	564	374	490	583	562
AGAP008052	1217	1157	1035	365	608	417	192	477	881	394	610	712
AGAP006894	3553	2720	2345	1946	1702	1685	1296	1516	1479	1594	1463	1652
AGAP005624	735	415	596	363	611	783	691	726	531	622	631	707
AGAP003477	28443	16263	18525	16713	12488	11592	9689	10614	14587	16585	15688	17427
AGAP006773	1745	1028	1178	998	1001	1169	880	915	539	577	695	566
AGAP011955	63	56	3	12	10	5	20	35	11	7	14	22
AGAP002707	324	121	152	122	227	329	260	295	110	170	116	140
AGAP001828	571	380	304	376	909	1033	1162	1365	581	630	454	663
AGAP004940	12543	9336	8087	7037	8712	8957	7021	7859	6752	9332	7401	9594
AGAP009143	1913	1329	1470	1034	3046	3809	4214	4032	1847	2331	1632	2131
AGAP010604	950	573	632	603	1286	1142	967	951	1072	1395	1112	1272
AGAP001699	5044	3218	3626	3597	5466	7290	4691	5106	4311	6260	4984	6400
AGAP004644	151	83	57	56	61	81	79	71	38	103	105	128
AGAP005106	2851	1280	1582	1602	1019	1604	938	965	1825	1998	1875	2188
AGAP003351	116	46	30	51	107	79	76	102	37	95	81	67
